Ecotype,Fresh weight,ChlA,ChlB,Protein content,NO3-,Amino acid,Glc,Fru,G6P,Suc,starch,Fum,Mal,FK,GK,nINV,aINV,G6PDH,FBP,FUMARASE,iRub,mRub,SPS,UGP,PGM,cPGI,tPGI,pPGI,AGP,NRVs,NRVm
5381,0.301,1.471,0.361,12.644,108.796,22.38,7.369,5.956,221.179,1.823,59.527,15.949,9.047,152.91,220.95,142.905,418.7,1384.905,124.83,1630.97,4081.01,4804.585,175.75,5260.005,6966.77,576.86,883.36,306.5,980.305,245.38,423.215
6449,0.301,1.311,0.34,12.084,128.758,25.105,2.377,2.812,279.921,2.263,39.997,11.694,9.652,267.98,437.06,186.895,650.77,480.76,239.95,4297.22,4149.39,5374.79,173.215,9068.96,8489.755,691.25,1182.34,491.09,1355.095,418.93,557.58
7492,0.302,1.22,0.331,10.756,130.547,20.519,3.678,1.971,237.583,2.461,45.587,10.109,8.167,174.225,178.595,115.07,337.495,451.4,152.705,3176.295,3604.795,3487.17,101.88,7442.225,7714.01,586.62,934.35,347.73,1174.56,190.32,364.615
281,0.303,1.198,0.306,13.019,127.891,26.504,3.417,3.378,243.67,2.63,45.69,9.288,11.963,200.38,168.695,227.875,697.195,673.755,264.965,2280.4,4513.615,5070.27,330.31,8680.38,9438.56,755.55,1133.215,377.665,1620.065,259.605,415.99
7205,0.304,1.286,0.335,8.374,118.119,16.367,4.836,3.064,256.158,1.44,60.622,19.152,6.966,162.635,33.115,153.13,599.965,531.085,66.875,2125.505,4490.24,5738.05,213.08,6931.91,6539.16,592.965,913.87,320.905,1206.93,280.59,462.575
7504,0.305,1.327,0.333,9.91,130.447,30.026,4.45,2.99,196.512,1.408,54.627,17.458,11.171,152.255,269.565,149.445,493.825,489.03,197.54,2241.43,3089.61,3447.985,192.4316284,7676.2,5998.11,716.315,973.59,257.275,1295.12,204.9,538.025
8387,0.306,1.494,0.333,13.415,102.383,26.476,9.322,4.124,279.575,3.203,46.384,18.206,12.321,148.68,148.75,224.7,683.205,1739.06,142.15,5595.73,4775.885,5519.375,377.725,8837.79,10179.835,790.48,1282.46,491.98,1575.245,223.745,416.925
7408,0.307,1.173,0.299,11.065,115.279,23.29,2.941,1.251,262.688,1.772,43.094,14.747,10.028,300.675,92.695,187.74,612.685,394.47,189.595,2557.515,4241.435,5372.155,192.4316284,6509.89,7849.955,841.32,1105.115,263.795,1254.635,305.585,512.875
8354,0.307,1.096,0.289,11.399,122.434,22.503,2.165,3.122,228.25,1.124,32.896,13.322,8.159,163.96,79.835,141.065,462.82,507.01,170.82,4378.92,3453.215,3601.88,159.04,8635.015,6938.815,741.74,1299.49,191.555,1479.495,229.72,395.3
8329,0.31,1.421,0.295,12.879,106.93,26.058,4.056,3.37,286.506,2.163,58.711,15.582,10.919,160.345,308.56,149.9,618.66,630.745,271.84,4804.81,6038.57,5968.5,323.22,8299.15,10292.27,601.87,1352.38,750.51,1368.345,245.865,463.575
7515,0.311,1.264,0.325,10.976,135.992,31.684,8.194,4.288,270.036,0.503,43.314,9.917,9.177,128.86,196.97,179.08,851.03,482.3,118.66,2393.11,4178.95,4846.41,192.4316284,6229.04,7771.35,416.58,1169.96,753.38,1516.84,199.3,433.64
7498,0.312,1.289,0.297,11.32,142.055,23.416,5.058,2.928,228.327,2.095,53.233,15.734,6.983,229.28,128.185,148.015,732.465,975.75,326.705,2917.605,4227.285,5086.11,217.8,8628.245,8464.52,817.82,1230.605,412.785,1517.14,153.315,349.025
6905,0.312,1.117,0.296,12.53,134.08,26.267,3.551,2.886,291.764,2.134,56.496,11.04,10.945,195.715,328.065,161.155,562.65,904.585,290.235,1930.68,5212.04,5595.615,325.29,8922.515,9670.55,698.12,1194.145,496.025,1553.37,238.085,464.02
7477,0.313,1.356,0.331,12.03,117.408,25.335,3.47,2.694,198.301,1.511,45.959,9.893,10.065,209.905,310.61,154.085,670.13,887.69,187.69,3343.16,3649.1,3860.33,192.4316284,7355.55,6363.87,595.765,917.36,321.595,1342.565,242.41,369.98
7075,0.317,1.09,0.316,9.108,143.006,19.089,2.237,2.247,177.892,0.791,32.969,7.004,7.196,79.4,116.55,129.055,753.13,350.075,66.495,981.22,2157.81,2650.56,192.4316284,2909.37,3839.725,354.355,544.88,190.525,329.65,150.645,257.24
