Ecotype,Fresh weight,ChlA,ChlB,Protein content,NO3-,Amino acid,Glc,Fru,G6P,Suc,starch,Fum,Mal,FK,GK,nINV,aINV,G6PDH,FBP,FUMARASE,iRub,mRub,SPS,UGP,PGM,cPGI,tPGI,pPGI,AGP,NRVs,NRVm
7331,0.375,1.112,0.291,10.038,132.661,20.176,3.477,2.09,186.669,1.842,38.672,14.492,7.588,140.335,147.7,139.385,637.79,426.915,213.68,2625.375,4216.37,5661.365,203.52,5957.13,7631.59,520.75,947.345,426.595,1091.21,245.57,402.625
8310,0.376,1.013,0.274,9.877,124.475,19.042,2.908,2.255,196.166,1.822,53.399,19.123,7.47,119.85,202.26,155.765,675.07,565.185,213.83,4079.465,4123.03,4917.53,192.4316284,7090.555,7633.565,822.245,916.48,94.235,1550.57,257.26,445.405
7483,0.382,1.192,0.292,9.342,134.32,22.072,3.125,1.915,151.879,0.808,44.313,12.398,5.493,166.48,153.835,123.65,250.93,370.555,234.165,2342.59,2407.85,2912.92,192.4316284,4990.855,4095.22,653.71,906.18,126.235,758.26,159.155,361.935
7123,0.385,1.323,0.335,10.425,152.535,22.536,4.623,2.168,207.474,1.778,44.478,14.335,7.486,157.435,225.48,127.78,435.02,333.19,79.18,5107.55,2339.89,4527.125,159.155,7416.22,7975.48,611.635,923.97,312.335,1425.16,239.13,491.97
362,0.386,1.266,0.307,11.697,127.28,25.067,2.492,3.064,215.067,1.447,28.879,16.086,8.159,184.055,232.42,185.81,882.205,389.895,218.72,2367.905,5232.485,4922.725,235.51,6373.64,9331.705,757.875,1046.525,288.65,1340.445,220.425,410.82
6810,0.389,1.14,0.309,10.44,102.818,23.117,4.868,2.368,209.252,2.249,36.448,16.499,9.533,230.115,335.41,124.99,669.275,516.41,110.645,3533.255,3589.765,4686.195,192.4316284,7539.235,8637.94,598.225,968.92,370.695,1063.685,211.71,382.375
7166,0.395,1.428,0.354,10.975,105.515,20.47,8.884,5.889,226.813,2.599,104.091,24.508,10.713,283.225,69.8,202.975,796.11,893.42,189.37,1918.49,4928.74,4606.195,272.125,8407.1,8991.48,615.035,1011.44,396.405,1770.49,220.01,415.115
7397,0.395,1.356,0.335,12.436,128.375,22.861,3.315,2.364,246.762,2.269,51.557,17.523,8.419,139.465,119.005,228.025,837.97,331.225,198.665,2725.85,4918.955,4555.15,189.89,7972.86,9380.785,753.23,1159.18,405.95,1526.595,205.615,318.335
8326,0.398,1.343,0.338,11.175,112.877,22.56,4.695,3.127,240.204,1.602,66.492,20.536,10.879,156.37,7.64,135.84,480.6,619.48,145.77,4670.945,4643.19,6207.355,189.27,5538.65,8518.925,618.095,1017.145,399.05,1565.205,310.42,507.74
7244,0.4,1.296,0.347,10.593,120.782,23.264,3.415,4.732,230.094,1.566,53.301,15.392,9.211,203.995,131.005,167.985,509.045,882.52,197.275,3048.75,2579.595,4164.46,192.4316284,8179.255,7364.74,631.59,904.45,272.86,1292.765,229.88,339.865
7100,0.402,1.153,0.308,10.902,136.211,21.447,2.616,1.65,223.91,1.766,14.115,9.773,6.031,120.39,457.58,166.17,772.98,363.9,299.78,4536.19,4632.36,4370.24,192.4316284,5574.59,7458.39,599.29,921.29,322,984.35,220.47,413.03
380,0.402,1.312,0.314,12.097,133.199,24.578,6.507,2.599,225.12,2.405,74.875,20.84,9.184,202.45,183.11,155.305,652.945,447.81,133.785,3798.04,4371.25,5438.775,187.98,7777.57,8485.645,648.17,1116.315,468.145,1580.18,229.13,411.635
7344,0.408,1.084,0.294,10.116,130.091,20.1,3.661,2.563,159.119,0.886,41.847,14.12,9.329,220.67,154.665,126.43,546.99,393.78,170.115,2424.625,2175.1,3076.6,192.4316284,5503.47,4993.35,432.98,680.06,247.08,1402.27,147.615,250.395
6967,0.408,1.238,0.316,11.928,143.657,24.848,2.594,2.045,233.422,1.592,36.323,8.961,8.297,270.9,187.605,84.405,641.575,743.75,120.36,4391.46,3363.98,4887.61,192.4316284,7641.94,8715.11,876.82,1096.145,219.325,1031.955,241.785,416.955
2290,0.409,1.234,0.295,10.748,145.783,22.799,2.345,2.344,189.296,1.423,38.599,12.163,6.665,252.99,266.785,152.305,599.195,598.21,134.945,2526.495,5336,3954.19,192.4316284,6500.62,5678.54,544.3,777.28,232.98,1379.125,201.64,355.33
8325,0.41,1.227,0.292,10.971,120.332,21.696,2.26,1.666,153.158,1.433,35.604,20.153,6.181,163.99,178.23,90.435,385.965,422.645,126.085,2878.9,2478.05,3476.94,192.4316284,5909.31,5766.57,562.345,897.845,335.5,1419.905,221.26,370.47
7102,0.411,1.429,0.341,11.395,124.841,28.947,3.264,2.63,206.231,2.048,40.209,10.533,12.986,184.655,165.315,215.705,834.275,527.675,68.875,1989.815,2319.125,2624.98,192.4316284,5894.53,5024.935,436.955,675.725,238.77,1246.84,176.455,268.22
8420,0.412,1.352,0.346,11.746,105.791,24.189,8.958,2.379,227.999,2.258,55.186,22.335,11.26,97.665,189.19,177.85,595.24,213.55,149.085,2220.975,3790.64,4522.225,245.85,6148.405,7854.605,748.695,1098.195,349.5,1590.715,218.52,396.25
7078,0.413,1.404,0.346,11.415,143.912,25.979,4.05,2.579,215.862,1.98,56.237,13.254,8.156,133.87,182.57,196.19,850.6,411.625,132.805,3123.49,3748.475,4625.405,113.96,6591.735,6765.07,715,1117.255,402.255,1183.45,196.06,430.785
7169,0.417,1.326,0.349,10.664,127.071,20.186,4.234,2.361,214.217,2.059,45.708,13.799,11.174,154.27,175.775,95.725,444.46,600.545,120.62,3167.36,2743.27,3093.13,151.77,6392.475,4840.11,443.9,652.19,208.29,1148.255,187.45,311.89
5232,0.417,1.15,0.311,10.922,123.17,17.808,1.991,2.204,134.903,1.813,36.981,16.893,9.826,127.43,254.21,114.55,421.15,828.88,187.65,6050.79,3840.1,4466.8,206.58,5743.99,8958.58,840.15,1248.81,408.66,1302.41,256.97,520.13
6730,0.419,1.335,0.348,11.309,128.769,21.291,6.551,3.938,246.82,1.614,51.034,16.228,8.774,144.635,236.975,197,667.805,375.155,156.975,2191.735,3991.41,4632.67,248.58,4908.96,7714.215,596.16,989.01,392.85,1250.46,231.655,393.485
7199,0.422,1.293,0.356,10.044,134.345,16.829,3.22,1.931,203.756,1.494,22.061,18.373,6.091,49.135,92.275,112.56,349.935,245.535,83.97,5929.59,2238.54,4708.27,63.83,5152.335,5552.87,457.625,679.295,221.67,1230.325,186.56,253.255
7135,0.423,1.334,0.35,11.429,123.054,20.844,4.356,2.541,200.015,1.507,12.554,18.296,7.735,166.95,178.29,83.1,526.06,347.43,100.69,3227.55,4092.8,4034.365,239.58,5837.38,7673.165,646.025,992.025,346,1410.73,227.13,436.475
6976,0.425,1.426,0.345,9.637,124.081,25.226,7.837,2.673,246.556,2.43,41.887,16.294,10.327,97.695,161.215,99.76,494.05,527.55,107.255,3523.035,3584.955,4305.535,177.88,7035.46,7012.28,721.78,1033.985,312.205,1557.005,253.62,390.475
7430,0.426,1.501,0.37,11.679,108.799,23.491,8.832,2.629,248.216,1.137,43.115,23.724,9.073,358.15,505.1,112.775,492.53,333.165,77.25,5454.615,4009.77,4447.535,291.48,6780.875,7133.44,667.96,1133.61,465.65,1480.935,173.955,410.76
6962,0.426,1.144,0.29,8.429,148.353,20.535,3.819,2.972,139.267,0.596,30.997,14.211,5.514,115.87,134.96,80,299.64,328.24,108.73,870.59,3955.429877,3376.36,192.4316284,2894.18,1736.98,162.86,157.71,351.6805919,780.17,86.89,193.9
7062,0.427,1.298,0.348,8.692,154.804,18.62,2.683,1.371,204.692,1.518,22.069,8.627,4.661,38.85,65.39,78.495,377.455,388.395,141.54,1197.225,2834.06,3677.53,124.45,4585.485,5158.27,448.975,644.885,195.91,998.48,166.09,319.22
7128,0.43,1.258,0.345,10.314,125.686,25.172,4.794,1.96,233.248,1.945,37.035,15.525,10.66,172.56,85.135,160.245,629.495,964.975,177.62,2786.75,3946.295,4429.77,192.4316284,6248.35,7672.165,792.65,1159.57,366.92,1164.87,264.37,508.015
7460,0.434,1.387,0.362,8.852,125.229,20.039,5.3,1.911,237.346,1.175,33.944,15.003,9.161,74.66,5.2,161.58,595.48,443.28,241.465,2536.84,4752.325,4851.065,137.42,5643.005,6983.955,641.515,985.355,343.84,1055.955,192.685,391.545
7186,0.437,1.394,0.363,10.65,136.243,23.539,3.795,2.216,189.637,1.48,34.322,16.006,8.422,149.585,77.595,119.47,473.37,316.045,27.42,2481.005,3293.635,4065.585,149.41,5223.575,5433.825,644.585,965.67,321.085,1282.93,301.13,549.51
6994,0.438,1.193,0.291,9.047,123.767,22.793,2.879,3.914,282.217,1.743,33.893,13.55,8.258,82.945,152.355,169.915,847.29,607.07,327.195,1575.54,4141.96,3594.465,192.4316284,5466.19,6666.805,557.97,921.92,363.95,1116.05,162.47,334.4
6961,0.439,1.142,0.324,10.984,138.465,22.944,3.045,1.58,217.425,1.797,53.556,11.193,10.701,151.425,194.625,126.13,881.815,497.12,103.285,2833.9,2810.4,3445.515,90.305,6872.03,5517.565,597.51,739.4,141.89,1029.14,184.595,352.69
6937,0.441,1.22,0.317,10.414,133.394,28.751,5.97,2.284,186.384,1.501,62.29,16.559,9.228,139.025,338.59,149.285,679.69,445.54,211.645,1329.51,2113.32,2941.645,229.11,6677.345,4542.45,425.165,602.67,177.505,1107.29,160.76,263.775
7424,0.445,1.33,0.353,10.862,120.701,20.437,2.843,2.664,266,1.311,40.414,15.431,9.33,148.005,53.82,163.99,646.575,403.325,186.47,3696.475,3838.45,4626.13,138.755,5844.77,7112.015,415.515,1089.59,674.075,1172.1,226.455,388.565
7094,0.448,1.397,0.347,12.164,132.893,23.969,3.423,3.496,251.138,1.605,41.364,11.81,10.011,214.85,125.305,114.1,612.3,550.495,92.5,1603.29,2722,4925.17,123.52,6070.04,6587.85,521.8,821.065,299.265,1072.73,221.83,406.95
7201,0.448,1.199,0.337,10.4,121.745,22.675,4.44,1.837,257.798,1.377,30.32,21.838,10.959,167.595,196.975,90.145,548.575,578.13,218.985,2612.62,3728.43,3924.11,181.36,6429.54,6627.5,503.275,853.045,349.77,1257.2,214.32,366.18
6951,0.448,1.39,0.368,12.299,117.744,22.519,4.672,2.189,265.225,2.333,41.817,13.645,11.294,162.375,128.755,208.575,465.725,427.11,157.875,2876.04,3913.245,4890.875,209.005,7144.75,7924.355,625.21,981.085,355.875,1544.945,203.715,428.275
7258,0.452,1.285,0.33,10.819,128.186,17.11,4.429,2.652,191.312,1.031,29.108,17.608,4.833,139.255,175.79,210.505,920.21,401.045,293.885,3475.81,3670.955,4537.425,190.96,6977.09,7179.755,596.965,887.415,290.45,1203.27,186.555,296.82
7446,0.456,1.198,0.347,11.851,117.926,18.238,2.626,2.385,255.645,1.287,41.406,18.865,7.959,67.25,232.3471651,68.66,514.42,86.95,306.66,2616.36,3725.32,4606.74,146.51,5655.3,6522.57,592.29,878.92,286.63,1196.92,261.57,445.42
7275,0.461,1.226,0.329,9.55,139.075,20.491,4.392,1.68,135.555,1.275,35.153,15.012,5.732,85.055,162.835,103.285,625.4,468,290.62,1798.095,4017.09,3065.305,192.4316284,4865.805,3714.55,303.86,477.01,173.15,864.29,127.345,229.76
7080,0.462,1.188,0.32,10.256,115.646,22.985,3.937,3.068,302.913,2.607,63.25,10.035,14.373,217.09,781.15,169.6841846,511.38,866.88,183.72,4736.17,3265.9,3969.95,205.36,7760.15,7492.1,674.35,1087.19,412.84,724.38,226.03,452.81
7307,0.466,1.2,0.319,9.949,139.732,21.235,2.771,2.727,235.945,1.688,44.549,10.113,10.541,179.695,133.45,126.79,679.575,380.94,163.27,2891.945,3871.695,4220.875,182.53,6175.535,6344.475,613.355,919.65,306.295,1381.285,216.53,388.77
6973,0.466,1.361,0.337,11.491,109.701,19.436,7.969,3.103,207.366,1.926,53.831,20.011,8.955,158.845,197.21,163.54,737.03,313.42,108.905,6766.14,4373.24,4693.675,199.705,7609.83,8867.7,713.465,997.365,283.9,1352.25,213.94,440.855
6990,0.467,1.181,0.362,10.527,114.173,19.09,4,1.627,258.762,1.349,41.367,9.91,9.143,117.49,83.7,107.17,539.98,334.56,168.48,1695.48,3649.18,3605.15,192.4316284,4162.81,7021.85,648.3,830.23,181.93,972.41,213.67,327.31
8389,0.471,1.302,0.34,12.898,124.811,30.347,4.152,3.968,281.381,2.083,43.397,11.675,15.651,200.99,232.575,238.735,779.98,1030.685,203.97,3190.175,4346.625,4838.55,192.4316284,7331,9220.68,908.05,1276.76,368.71,1437.96,232.165,465.745
6936,0.473,1.3,0.332,10.291,128.08,27.651,3.587,1.737,254.421,1.741,58.565,18.827,9.602,117.605,595.8,151.34,748.07,411.125,179.91,1772.57,3361.93,4165.41,143.05,6140.455,6821.865,557.665,846.945,289.28,860.335,177.26,341.605
7150,0.478,1.298,0.337,9.945,101.413,19.325,10.126,3.407,236.661,1.99,56.464,24.616,8.802,325.035,139.985,146.235,701.45,494.115,55.09,3844.135,2965.015,4500.965,192.4316284,7339.495,7396.58,636.785,967.34,330.555,1244.53,181.19,301.96
8412,0.48,1.208,0.326,10.825,125.186,22.883,2.313,1.878,255.389,1.692,45.717,14.982,9.106,140.89,218.26,92.49,429.545,371.955,30.065,1958.55,2324.245,4170.57,192.4316284,5824.345,6346.595,506.125,789.22,283.095,840.22,195.775,381.21
7110,0.486,1.31,0.339,10.722,144.028,23.066,2.821,2.513,213.209,2.352,32.038,13.745,7.036,184.255,98.485,133.6,432.69,384.075,143.565,3276.63,2658.195,4017.615,126.43,7356.125,6510.685,559.145,874.06,314.915,1034.325,170.695,281.175
7206,0.489,1.463,0.363,12.198,123.15,22.008,5.971,3.463,235.315,1.936,35.556,12.078,9.6,232.83,177.23,110.9,419.285,381.995,146.375,3120.28,4104.915,5497.395,192.4316284,5649.615,7822.865,721.09,1071.385,350.295,1317.96,174.445,338.605
7449,0.49,1.257,0.323,9.314,114.862,22.143,6.652,3.431,221.74,1.684,27.971,21.774,9.868,115.845,349.915,154.475,488.545,319.855,94.95,4120.72,2868.97,3983.995,174,6589.55,5523.885,514.96,829.805,314.845,1089.375,201.87,323.38
6744,0.491,1.236,0.337,9.111,106.212,19.064,7.998,5.095,207.147,1.373,48.677,19.826,8.761,180.62,289.09,213.15,567.98,524.95,149.6,2470.76,1923.655,3385.455,192.4316284,5069.02,5281.665,478.45,817.105,338.655,1305.975,194.855,304.54
7340,0.492,1.053,0.339,8.189,142.2,20.196,3.255,3.58,179.525,1.451,45.114,8.944,6.867,193.375,199.7,101.335,364.195,425.39,153.75,2491.86,1933.34,2887.205,192.4316284,4640.82,3569.015,326.65,467.77,141.12,1222.435,130.455,189.365
7333,0.495,1.358,0.326,10.597,114.096,21.972,6.307,3.231,218.837,1.416,47.66,23.588,5.247,185.825,148.82,182.465,559.47,583.745,134.68,4512.25,3612.855,4904.96,192.4316284,7750.53,7811.77,587.685,973.265,385.58,1504.51,176.05,355.05
6946,0.495,1.238,0.31,12.874,126.819,26.583,2.143,2.287,247.847,1.047,42.763,8.893,13.499,183.465,155.16,128.19,528.145,390.575,105.755,6243.155,3575.67,3483.975,176.605,6628.1,6211.085,598.83,819.45,220.62,1232.375,238.33,439.03
7105,0.499,1.541,0.386,9.702,130.059,20.387,3.933,2.749,285.305,1.493,47.531,15.155,9.527,82.54,131.91,165.43,692.01,649.57,311.49,1120.66,3880.64,4242.47,139.63,9052.25,7303.96,676.64,986.28,309.64,1295.67,272.41,459.47
6042,0.501,1.195,0.308,10.623,143.267,21.312,2.984,2.191,214.397,2.447,28.87,13.05,6.864,163.795,94.86,107.72,480.355,419.39,135.835,3689.72,2986.32,4469.73,192.4316284,6709.95,8081.96,560.385,1071.665,511.28,1515.845,206.57,340.585
7000,0.503,1.281,0.358,9.869,150.599,24.897,3.788,3.955,189.2,1.603,34.066,12.606,7.056,219.83,304.275,81.055,355.02,420.715,156.68,2104.95,2130.705,3327.56,111.87,7149.44,4998.745,579.98,652,72.02,998.075,174.98,297.35
7343,0.507,1.286,0.305,11.169,119.373,22.126,3.226,3.411,245.074,3.175,87.073,20.988,12.324,248.2,86.89,104.97,579.81,724.86,152.49,5119.29,6050.63,5211.08,192.4316284,7590.52,8126.26,837.67,1303.6,465.93,1583.51,346.65,615.41
6996,0.508,1.229,0.321,9.93,119.846,23.955,5.879,4.366,227.254,0.886,31.511,20.023,9.467,363.635,317.95,183.725,771.315,960.74,215.075,3096.58,3605.115,4543.465,221.6,7862.805,8177.86,610.935,883.49,272.555,1108.89,196.64,392.495
7163,0.509,1.408,0.344,11.012,132.776,20.701,6.693,2.947,227.457,1.922,29.399,16.271,6.515,88.085,396.84,85.53,590.38,625.075,103.9,2725,2360.275,3801.645,95.68,5982.975,7072.3,667.17,963.43,296.26,1058.46,207.34,339.68
7229,0.509,1.239,0.337,11.047,117.112,21.6,6.138,2.675,219.832,2.509,39.141,14.451,6.911,342.205,186.63,111.67,570.075,522.745,169.165,2065.945,3328.675,3910.735,144.98,5292.835,6649.71,488.81,827.845,339.035,1232.545,173.45,269.33
7280,0.525,1.273,0.346,7.688,134.414,17.787,4.38,2.723,184.014,1.4,26.488,16.257,6.809,99.31,73.52,74.4,332.27,125.99,357.41,3214.87,2669.34,3329.03,192.4316284,3898.87,4861.53,442.49,529.47,86.98,920.91,141.13,215.76
8304,0.527,1.27,0.301,11.475,115.541,23.605,6.947,4.769,156.753,0.41,55.857,14.336,9.543,209.475,184.61,253.07,769.3,203.815,48.885,1227.72,2654.995,3468.575,192.4316284,6882.325,5690.02,557.69,785.885,228.195,1563.145,143.75,264.72
7139,0.53,1.284,0.325,9.375,120.043,17.875,4.331,2.251,226.89,1.823,33.523,19.462,8.275,90.93,70.73,159.3,610.94,405.365,157.66,1686.51,2868.62,4380.31,169.245,6559.04,7881.955,602.76,927.445,324.685,1242.92,220.4,424.24
7525,0.531,1.245,0.325,10.185,120.462,21.5,4.772,2.799,236.783,1.484,60.254,19.989,8.725,118.055,382.405,180.315,622.285,1011.59,178.3,1168.605,3823.365,5611.235,237.175,6165.765,7385.765,612.65,957.385,344.735,1267.18,192.235,372.095
7282,0.532,1.039,0.3,9.804,128.205,16.843,3.203,2.865,145.749,1.141,34.714,12.575,5.105,90.985,15.05,111.725,740.83,354.16,93.51,2141.39,2357.595,3661.72,187.76,4634.38,3834.56,320.165,462.175,142.01,699.615,115.085,161.4
6729,0.537,1.139,0.32,8.746,125.834,14.747,3.839,2.169,170.716,1.785,19.804,13.918,7.498,126.12,333.255,83.48,512.77,298.945,102.21,1262.69,3820.38,2608.53,120.28,3722.865,4570.14,452.795,644.96,192.165,682.41,175.265,223.045
7008,0.538,1.154,0.333,9.142,140.676,22.731,2.966,2.648,183.714,1.192,35.815,11.125,6.703,140.725,74.585,145.54,648.61,453.96,144.345,4228.025,2016.475,2964.17,4.61,4993.43,3778.08,399.93,519.295,119.365,891.535,113.37,181.885
7145,0.548,1.136,0.315,10.369,127.021,17.82,4.167,1.792,194.436,1.625,30.36,18.315,7.256,270.74,273.87,141.425,909.235,556.25,104.315,3565.125,3937.835,4601.02,135.2,5430.59,5704.205,627.64,811.025,183.385,1159.345,244.425,450.415
7064,0.549,1.16,0.348,9.59,128.654,16.436,3.503,2.201,212.132,1.549,41.638,13.499,5.937,297.97,12.15,54.57,718.92,273.7,62.23,1647,3123.62,3706.13,133.11,5454.81,5676.41,494.31,709.76,215.45,1076.95,174.57,268.54
7031,0.558,1.269,0.328,12.701,138.161,20.798,3.755,2.975,212.619,1.923,25.395,9.115,7.358,161.28,192.26,103.76,422.78,509.31,113.645,1335.48,2477.95,3647.025,115.35,4454.24,6220.19,542.565,729.61,187.045,1048.695,158.39,390.745
6727,0.56,1.367,0.363,9.866,138.183,19.582,2.326,2.578,208.174,0.744,34.035,10.971,6.401,84.55,107.21,158.315,382.955,262.345,173.61,4259.39,3932.76,4254.675,143.9,5715.05,6562.02,705.785,1089.705,383.92,1154.685,171.71,307.695
8378,0.567,1.382,0.329,11.811,128.123,23.273,5.838,2.35,194.937,1.078,44.545,17.932,11.222,94.26,162.39,139.87,641.9,293.395,150.81,2220.42,3084.705,3665.03,55.67,5590.305,5201.665,653.69,874.15,220.46,1368.45,212.59,318.22
7300,0.568,1.205,0.332,9.494,134.99,20.231,4.29,1.848,257.916,1.996,46.893,13.432,8.218,158.27,269.58,159.72,979.96,507.46,204.03,3741.34,2967.95,3685.26,148.215,6212.515,6188.275,524.715,827.285,302.57,1038.685,167.62,327.16
6989,0.576,1.133,0.352,8.147,129.651,18.915,3.229,1.61,201.603,1.119,27.32,9.359,8.478,106.63,145.865,165.03,461.705,414.015,115.445,1295.085,2980.98,2604.445,160.69,4789.71,5225.325,447.835,668.55,220.715,918.375,154.28,326.43
7224,0.587,1.23,0.305,9.904,104.926,19.115,5.225,3.643,174.553,1.893,39.724,20.798,5.372,228.98,150.615,104.27,112.4,327.565,140.7,4198.285,2385.53,3487.67,60.91,5839.73,6116.47,501.265,697.11,195.845,1173.825,169.355,263.015
7002,0.596,1.285,0.345,9.794,151.214,22.825,2.514,1.447,189.086,1.78,26.023,12.971,5.649,63.51,79.88,117.97,726.24,65.28,133.68,1649.05,4620.1,7305.98,192.4316284,5623.78,8188.72,793.61,650.42,351.6805919,1053.67,146.18,368.46
7026,0.628,1.193,0.365,9.478,142.497,18.476,2.319,2.823,224.022,1.752,28.223,8.778,6.28,125.505,232.3471651,129.975,555.54,443.825,155.33,2288.625,2963.26,3870.96,66.475,6298.535,6511.795,470.74,770,299.26,1092.755,181.645,311.27
7011,0.661,1.259,0.344,8.487,135.061,15.599,2.483,2.684,189.061,1.651,19.318,11.678,6.584,52.185,329.27,128.845,703.14,291.99,123.045,2385.93,2805.115,3183.99,192.4316284,5094.47,5165.89,418.735,584.005,165.27,1013.555,170.505,260.385
7004,0.663,1.1,0.305,9.655,151.513,19.633,1.349,2.16,176.284,0.945,20.048,7.945,4.794,85.73,86.19,76.325,486.535,468.595,130.01,1328.255,1899.84,5271.2,192.4316284,4414.185,4481.6,281.775,425.135,143.36,856.795,206.34,277.91
7014,0.683,1.304,0.328,10.078,124.31,15.823,3.833,1.858,184.566,1.971,22.414,12.007,7.098,159.84,136.375,152.09,642.99,299.25,136.94,3772.025,3347.475,3555.8,192.4316284,5068.385,5968.31,429.575,739.135,309.56,943.81,156.805,252.675
